Parameter_name	NWIS_parameter_code	CASRN	Analyzing_laboratory	Common_primary_use_group	Method	Method_of_quantitation	Detection_limit	Reporting_limit	Units_of_measurement	Method_citation
Total coliforms	--	--	NIH/NIAID	Microbiology	Coliblue24 broth 	count	--	0	CFU/100 mL	"HACH, 1999"
Escherichia coli (E. Coli)	--	--	NIH/NIAID	Microbiology	Coliblue24 broth 	count	--	0	CFU/100 mL	"HACH, 1999"
Heterotrohic plate count	--	--	NIH/NIAID	Microbiology	R2A agar	count	--	0	CFU/mL	Described in metadata process step
"Temperature, water"	00010	--	Field personnel	Field measurement	Multi-parameter sonde	--	--	0.1	deg C	"USGS National field manual, variously dated"
Chloride	00940	16887-00-6	RCL	Anion	IC	MDL	--	0.1	mg/L	"Brinton and others, 1996"
Sulfate	00945	14808-79-8	RCL	Anion	IC	MDL	--	0.1	mg/L	"Brinton and others, 1996"
Fluoride	00950	16984-48-8	RCL	Anion	IC	MDL	--	0.05	mg/L	"Pfaff, 1993"
Bromide	71870	24959-67-9	RCL	Anion	IC	MDL	--	0.05	mg/L	"Pfaff, 1993"
Magnesium	00921	7439-95-4	RCL	Cation	ICP-OES	MDL	--	0.01	mg/L	"EPA, 2018"
Potassium	00937	7440-09-7	RCL	Cation	ICP-OES	MDL	--	0.02	mg/L	"EPA, 2018"
Silica	00956	7631-86-9	RCL	Trace element	ICP-OES	MDL	--	0.02	mg/L	"EPA, 2018"
Thallium	01059	7440-28-0	ATECL	Trace element	ICP-OES	MDL	--	0.0006	ug/L	"Roth and others, 2022"
Calcium	00916	7440-70-2	RCL	Cation	ICP-OES	MDL	--	0.1	mg/L	"EPA, 2018"
Sodium	00923	7440-23-5	RCL	Cation	ICP-OES	MDL	--	0.2	mg/L	"EPA, 2018"
Alkalinity	00421	--	RCL	Field measurement	Fixed endpoint	MDL	--	2	mg/L as CaCO3	"Fishman and Friedman, 1989"
Nitrate	00618	14797-55-8	RCL	Anion	IC	MDL	--	0.05	mg/L as N	"Brinton and others, 1996"
Ractopamine	52814	97825-25-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	9	20	ng/L	"Furlong and others, 2014"
Hexamethylenetetramine	52815	100-97-0	NWQL	Pharmaceutical	LC/MS-MS	MRL	--	55	ng/L	"Furlong and others, 2014"
Guanylurea	52816	141-83-3	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	70	140	ng/L	"Furlong and others, 2014"
Gabapentin	52817	60142-96-3	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	80	160	ng/L	"Furlong and others, 2014"
Atrazine	65065	1912-24-9	NWQL	Pesticide	LC/MS-MS	RLDQC	10	20	ng/L	"Furlong and others, 2014"
Norethindrone	67434	68-22-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	10	20	ng/L	"Furlong and others, 2014"
Piperonyl butoxide	67435	51-03-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	20	60	ng/L	"Furlong and others, 2014"
Acetaminophen	67436	103-90-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	42	84	ng/L	"Furlong and others, 2014"
Albuterol	67437	18559-94-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1.2	6.7	ng/L	"Furlong and others, 2014"
Bupropion	67439	34911-55-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	3.6	18	ng/L	"Furlong and others, 2014"
Caffeine	67440	58-08-2	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	43	91	ng/L	"Furlong and others, 2014"
Carbamazepine	67441	298-46-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	2.2	11	ng/L	"Furlong and others, 2014"
Cimetidine	67442	51481-61-9	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	60	140	ng/L	"Furlong and others, 2014"
Codeine	67443	76-57-3	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	16	32	ng/L	"Furlong and others, 2014"
Cotinine	67444	486-56-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	1.7	6.4	ng/L	"Furlong and others, 2014"
Dehydronifedipine	67445	67035-22-7	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	4	20	ng/L	"Furlong and others, 2014"
"1,7-Dimethylxanthine"	67446	611-59-6	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	21	88	ng/L	"Furlong and others, 2014"
Diphenhydramine	67447	147-24-0	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	24	48	ng/L	"Furlong and others, 2014"
Duloxetine	67448	116539-59-4	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	7.3	37	ng/L	"Furlong and others, 2014"
Erythromycin	67449	114-07-8	NWQL	Pharmaceutical	LC/MS-MS	RLDQC	27	80	ng/L	"Furlong and others, 2014"
