USGS_station_number	Sample_date_(yyyymmdd)	Sample_time_(HHMM)	Medium_code	NWIS_parameter_code	Parameter_name	Remark_and_result	Units_of_measurement	Analyzing_laboratory	 
T453657107270401	20220810	1000	WS	00010	"Temperature, water"	24.7	deg C	Field personnel	
T452500108320026	20220808	1000	WT	00010	"Temperature, water"	12.7	deg C	Field personnel	
T453800107270022	20220810	1020	WG	00010	"Temperature, water"	17.4	deg C	Field personnel	
T451800107210006	20220809	1030	WG	00010	"Temperature, water"	15.3	deg C	Field personnel	
T451943107212513	20220809	1030	WS	00010	"Temperature, water"	21.2	deg C	Field personnel	
T453500107270024	20220810	1100	WT	00010	"Temperature, water"	25.7	deg C	Field personnel	
T451852107214501	20220809	1110	WT	00010	"Temperature, water"	11.3	deg C	Field personnel	
T451800107220007	20220809	1140	WG	00010	"Temperature, water"	17.8	deg C	Field personnel	
T453200107250023	20220810	1150	WG	00010	"Temperature, water"	15.5	deg C	Field personnel	
T451800107540001	20220808	1200	WG	00010	"Temperature, water"	19.1	deg C	Field personnel	
T451257107225201	20220810	1200	WS	00010	"Temperature, water"	20.9	deg C	Field personnel	
T452500107234008	20220809	1220	WG	00010	"Temperature, water"	14.8	deg C	Field personnel	
T453254107251316	20220809	1225	WS	00010	"Temperature, water"	24.2	deg C	Field personnel	
T453600107270018	20220810	1230	WT	00010	"Temperature, water"	22.5	deg C	Field personnel	
T452000107520002	20220808	1240	WG	00010	"Temperature, water"	12.1	deg C	Field personnel	
T452700107230017	20220809	1300	WG	00010	"Temperature, water"	14.5	deg C	Field personnel	
T452700107430003	20220808	1330	WG	00010	"Temperature, water"	14.3	deg C	Field personnel	
T453535107275515	20220809	1340	WS	00010	"Temperature, water"	24.6	deg C	Field personnel	
T453200107250011	20220810	0750	WG	00010	"Temperature, water"	13.4	deg C	Field personnel	
T450800107230004	20220809	0820	WG	00010	"Temperature, water"	12.6	deg C	Field personnel	
T454300107330012	20220810	0840	WG	00010	"Temperature, water"	15.8	deg C	Field personnel	
T453615107271309	20220810	0900	WS	00010	"Temperature, water"	24.3	deg C	Field personnel	
T450754107240301	20220809	0910	WT	00010	"Temperature, water"	11.6	deg C	Field personnel	
T452540108321601	20220808	0920	WT	00010	"Temperature, water"	10.8	deg C	Field personnel	
T453900107280021	20220810	0930	WG	00010	"Temperature, water"	14.6	deg C	Field personnel	
T451257107225201	20220809	0930	WS	00010	"Temperature, water"	18.5	deg C	Field personnel	
T451400107230005	20220809	0950	WG	00010	"Temperature, water"	16.3	deg C	Field personnel	
T453657107270401	20220810	1000	WS	01007	Barium	63.6	ug/L	RCL	
T452500108320026	20220808	1000	WT	01007	Barium	68	ug/L	RCL	
T453800107270022	20220810	1020	WG	01007	Barium	16.1	ug/L	RCL	
T451800107210006	20220809	1030	WG	01007	Barium	57.7	ug/L	RCL	
T451943107212513	20220809	1030	WS	01007	Barium	57.7	ug/L	RCL	
T453500107270024	20220810	1100	WT	01007	Barium	57.9	ug/L	RCL	
T451852107214501	20220809	1110	WT	01007	Barium	29.4	ug/L	RCL	
T451800107220007	20220809	1140	WG	01007	Barium	9	ug/L	RCL	
T453200107250023	20220810	1150	WG	01007	Barium	10.2	ug/L	RCL	
T451800107540001	20220808	1200	WG	01007	Barium	25.5	ug/L	RCL	
T451257107225201	20220810	1200	WS	01007	Barium	53.1	ug/L	RCL	
T452500107234008	20220809	1220	WG	01007	Barium	7.9	ug/L	RCL	
T453254107251316	20220809	1225	WS	01007	Barium	60.4	ug/L	RCL	
T453600107270018	20220810	1230	WT	01007	Barium	58.9	ug/L	RCL	
T452000107520002	20220808	1240	WG	01007	Barium	12.3	ug/L	RCL	
T452700107230017	20220809	1300	WG	01007	Barium	4.8	ug/L	RCL	
T452700107430003	20220808	1330	WG	01007	Barium	2.2	ug/L	RCL	
T453535107275515	20220809	1340	WS	01007	Barium	66.2	ug/L	RCL	
T453200107250011	20220810	0750	WG	01007	Barium	9.1	ug/L	RCL	
T450800107230004	20220809	0820	WG	01007	Barium	10	ug/L	RCL	
T454300107330012	20220810	0840	WG	01007	Barium	35	ug/L	RCL	
T453615107271309	20220810	0900	WS	01007	Barium	63.8	ug/L	RCL	
T450754107240301	20220809	0910	WT	01007	Barium	35.4	ug/L	RCL	
T452540108321601	20220808	0920	WT	01007	Barium	36.4	ug/L	RCL	
T453900107280021	20220810	0930	WG	01007	Barium	9.3	ug/L	RCL	
T451257107225201	20220809	0930	WS	01007	Barium	54.8	ug/L	RCL	
T451400107230005	20220809	0950	WG	01007	Barium	<0.500	ug/L	RCL	
T453657107270401	20220810	1000	WS	01034	Chromium	0.4	ug/L	RCL	
T452500108320026	20220808	1000	WT	01034	Chromium	0.7	ug/L	RCL	
T453800107270022	20220810	1020	WG	01034	Chromium	<0.300	ug/L	RCL	
T451800107210006	20220809	1030	WG	01034	Chromium	<0.300	ug/L	RCL	
T451943107212513	20220809	1030	WS	01034	Chromium	0.5	ug/L	RCL	
T453500107270024	20220810	1100	WT	01034	Chromium	<0.300	ug/L	RCL	
T451852107214501	20220809	1110	WT	01034	Chromium	<0.300	ug/L	RCL	
T451800107220007	20220809	1140	WG	01034	Chromium	<0.300	ug/L	RCL	
T453200107250023	20220810	1150	WG	01034	Chromium	<0.300	ug/L	RCL	
T451800107540001	20220808	1200	WG	01034	Chromium	4.8	ug/L	RCL	
T451257107225201	20220810	1200	WS	01034	Chromium	<0.300	ug/L	RCL	
T452500107234008	20220809	1220	WG	01034	Chromium	<0.300	ug/L	RCL	
T453254107251316	20220809	1225	WS	01034	Chromium	<0.300	ug/L	RCL	
T453600107270018	20220810	1230	WT	01034	Chromium	<0.300	ug/L	RCL	
T452000107520002	20220808	1240	WG	01034	Chromium	<0.300	ug/L	RCL	
T452700107230017	20220809	1300	WG	01034	Chromium	<0.300	ug/L	RCL	
T452700107430003	20220808	1330	WG	01034	Chromium	<0.300	ug/L	RCL	
T453535107275515	20220809	1340	WS	01034	Chromium	0.4	ug/L	RCL	
T453200107250011	20220810	0750	WG	01034	Chromium	<0.300	ug/L	RCL	
T450800107230004	20220809	0820	WG	01034	Chromium	<0.300	ug/L	RCL	
T454300107330012	20220810	0840	WG	01034	Chromium	<0.300	ug/L	RCL	
T453615107271309	20220810	0900	WS	01034	Chromium	0.3	ug/L	RCL	
T450754107240301	20220809	0910	WT	01034	Chromium	<0.300	ug/L	RCL	
T452540108321601	20220808	0920	WT	01034	Chromium	0.8	ug/L	RCL	
T453900107280021	20220810	0930	WG	01034	Chromium	<0.300	ug/L	RCL	
T451257107225201	20220809	0930	WS	01034	Chromium	0.4	ug/L	RCL	
T451400107230005	20220809	0950	WG	01034	Chromium	<0.300	ug/L	RCL	
T453657107270401	20220810	1000	WS	01037	Cobalt	<2.00	ug/L	RCL	
T452500108320026	20220808	1000	WT	01037	Cobalt	<2.00	ug/L	RCL	
T453800107270022	20220810	1020	WG	01037	Cobalt	<2.00	ug/L	RCL	
T451800107210006	20220809	1030	WG	01037	Cobalt	<2.00	ug/L	RCL	
T451943107212513	20220809	1030	WS	01037	Cobalt	<2.00	ug/L	RCL	
T453500107270024	20220810	1100	WT	01037	Cobalt	<2.00	ug/L	RCL	
T451852107214501	20220809	1110	WT	01037	Cobalt	<2.00	ug/L	RCL	
T451800107220007	20220809	1140	WG	01037	Cobalt	<2.00	ug/L	RCL	
T453200107250023	20220810	1150	WG	01037	Cobalt	<2.00	ug/L	RCL	
T451800107540001	20220808	1200	WG	01037	Cobalt	<2.00	ug/L	RCL	
T451257107225201	20220810	1200	WS	01037	Cobalt	<2.00	ug/L	RCL	
T452500107234008	20220809	1220	WG	01037	Cobalt	<2.00	ug/L	RCL	
T453254107251316	20220809	1225	WS	01037	Cobalt	<2.00	ug/L	RCL	
T453600107270018	20220810	1230	WT	01037	Cobalt	<2.00	ug/L	RCL	
T452000107520002	20220808	1240	WG	01037	Cobalt	<2.00	ug/L	RCL	
T452700107230017	20220809	1300	WG	01037	Cobalt	3	ug/L	RCL	
T452700107430003	20220808	1330	WG	01037	Cobalt	<2.00	ug/L	RCL	
T453535107275515	20220809	1340	WS	01037	Cobalt	<2.00	ug/L	RCL	
T453200107250011	20220810	0750	WG	01037	Cobalt	<2.00	ug/L	RCL	
T450800107230004	20220809	0820	WG	01037	Cobalt	3	ug/L	RCL	
T454300107330012	20220810	0840	WG	01037	Cobalt	<2.00	ug/L	RCL	
T453615107271309	20220810	0900	WS	01037	Cobalt	<2.00	ug/L	RCL	
T450754107240301	20220809	0910	WT	01037	Cobalt	<2.00	ug/L	RCL	
T452540108321601	20220808	0920	WT	01037	Cobalt	<2.00	ug/L	RCL	
T453900107280021	20220810	0930	WG	01037	Cobalt	<2.00	ug/L	RCL	
T451257107225201	20220809	0930	WS	01037	Cobalt	<2.00	ug/L	RCL	
T451400107230005	20220809	0950	WG	01037	Cobalt	<2.00	ug/L	RCL	
T453657107270401	20220810	1000	WS	01042	Copper	<1.00	ug/L	RCL	
T452500108320026	20220808	1000	WT	01042	Copper	7	ug/L	RCL	
T453800107270022	20220810	1020	WG	01042	Copper	4	ug/L	RCL	
T451800107210006	20220809	1030	WG	01042	Copper	<1.00	ug/L	RCL	
T451943107212513	20220809	1030	WS	01042	Copper	<1.00	ug/L	RCL	
T453500107270024	20220810	1100	WT	01042	Copper	12	ug/L	RCL	
T451852107214501	20220809	1110	WT	01042	Copper	32	ug/L	RCL	
